[METADATA]
ARTIST=We're Swan Will Sweep
SONG=in tortured vanity
DIFFICULTY=5

[NOTES]
0.341667 2.34167 1 0
3.83292 5.83292 0 0
7.69042 9.69042 2 0
11.4217 13.4217 1 0
13.4179 15.4179 1 0
13.6754 15.6754 0 0
13.8779 15.8779 1 0
14.1092 16.1092 2 0
14.3354 16.3354 1 0
14.5704 16.5704 2 0
14.7967 16.7967 1 0
15.0354 17.0354 0 0
15.2079 17.2079 1 0
15.4654 17.4654 0 0
15.6779 17.6779 1 0
15.9417 17.9417 0 0
16.1042 18.1042 1 0
16.3817 18.3817 2 0
16.6254 18.6254 1 0
16.8429 18.8429 2 0
17.0467 19.0467 1 0
17.3154 19.3154 0 0
17.5142 19.5142 1 0
17.7604 19.7604 0 0
17.9879 19.9879 1 0
18.2329 20.2329 0 0
18.4854 20.4854 1 0
18.7279 20.7279 2 0
18.9504 20.9504 1 0
19.2029 21.2029 2 0
19.4292 21.4292 1 0
19.6454 21.6454 0 0
19.8704 21.8704 1 0
20.1317 22.1317 0 0
20.3279 22.3279 1 0
20.5679 22.5679 2 0
20.7979 22.7979 1 0
21.0892 23.0892 2 0
21.2817 23.2817 1 0
21.5079 23.5079 2 0
21.7067 23.7067 1 0
21.9517 23.9517 0 0
22.2004 24.2004 1 0
22.4142 24.4142 0 0
22.6779 24.6779 2 0
23.0492 25.0492 1 0
23.2667 25.2667 2 0
23.5017 25.5017 1 0
23.7492 25.7492 0 0
24.0079 26.0079 1 0
24.2667 26.2667 2 0
24.5342 26.5342 3 0
24.7267 26.7267 2 0
25.0017 27.0017 1 0
25.2567 27.2567 0 0
25.4604 27.4604 1 0
25.6829 27.6829 2 0
25.9254 27.9254 3 0
26.1254 28.1254 2 0
26.3767 28.3767 1 0
26.6767 28.6767 0 0
26.8654 28.8654 1 0
27.1192 29.1192 2 0
27.3517 29.3517 3 0
27.5504 29.5504 2 0
27.7804 29.7804 1 0
28.0104 30.0104 0 0
28.2167 30.2167 1 0
28.4392 30.4392 0 0
28.7042 30.7042 1 0
28.9642 30.9642 2 0
29.2554 31.2554 1 0
29.4879 31.4879 0 0
29.7454 31.7454 1 0
29.9692 31.9692 2 0
30.1654 32.1654 1 0
30.5042 32.5042 0 0
30.8179 32.8179 2 0
31.0729 33.0729 0 0
31.3379 33.3379 0 0
31.5792 33.5792 1 0
31.9017 33.9017 2 0
32.1229 34.1229 0 0
32.5292 34.5292 1 0
32.7692 34.7692 2 0
32.9904 34.9904 1 0
33.2629 35.2629 0 0
